teams,driver1,driver2,championships won
Mercedes-Benz F1 team,Lewis Hamilton,George Russell,7
RedBull Team,Max Verstappen,Sergio Perez,5
Ferrari,Charles Leclerc,Carlos Sainz,16
Mclaren,Lando Norris,Oscar Piastri,8
